"x","y","set"
30.8806186076254,12.5836441501179,"train"
8.85953322285786,8.94001904660026,"train"
12.6153561519459,12.0663687312629,"train"
18.8253422849812,11.3753138436798,"train"
30.8506230590865,10.6362947035506,"train"
42.0185379916802,16.6997627603933,"test"
45.995309704449,12.5924513731574,"train"
12.415404303465,10.6508762222489,"train"
46.998825634364,12.8925991169849,"train"
20.5320816719905,12.7709869892336,"train"
24.7931345715187,13.4811111641791,"train"
44.5886370376684,12.7507659819578,"train"
8.02136199781671,9.64763968691759,"train"
43.5501447296701,13.1518715170822,"train"
19.9665765860118,13.383024065917,"train"
46.1176812998019,11.7365751409202,"train"
25.2364286337979,12.3744791330101,"train"
41.2242452148348,13.3814381109832,"train"
30.7868104078807,13.7500301183975,"train"
42.0701096416451,14.8481350761502,"train"
19.7106354404241,12.7939022118178,"train"
26.9273549201898,13.4533162195961,"train"
42.6112596062012,13.9104987293881,"train"
21.9503397587687,11.3939873603695,"train"
5.90589242056012,8.76469352389654,"train"
1.27372215501964,3.23997939011159,"train"
24.0737531334162,14.2628256386543,"train"
35.0276625482365,14.7745252041978,"train"
48.0817640549503,14.5006389184141,"train"
38.9500507269986,15.4039984016985,"train"
6.06271733995527,8.4054558540434,"train"
23.0665471637622,13.3687807919761,"train"
49.6317696524784,15.4561784254855,"train"
27.8969230712391,12.3379377094965,"train"
42.3594845109619,13.3815620341008,"train"
45.2228534966707,14.6335439793333,"train"
21.8483120435849,11.1445588550414,"train"
13.0357237765566,9.53843235950819,"train"
20.5349117750302,12.4117269855646,"train"
2.1660614060238,3.59587619074509,"train"
45.9201220655814,14.9135872645739,"train"
49.9346049735323,12.4144266932424,"train"
25.8192169014364,11.6152155021777,"train"
18.7885641003959,12.1610561011621,"train"
12.3497297754511,12.7740743259526,"train"
6.29652681527659,8.16520652631056,"train"
18.7827732064761,10.7078824590426,"test"
18.8972748001106,10.8363659650739,"train"
7.67986127175391,9.29151463632098,"train"
37.8398998407647,14.027463320989,"train"
45.356121356599,14.7419855544377,"train"
12.633318011649,9.48891933797573,"train"
44.9299508822151,12.9920741286587,"train"
33.8139101397246,12.1053812056871,"train"
44.2753869108856,14.0651397593235,"train"
8.53997106896713,10.2569790138153,"train"
41.6131861275062,14.0347138511022,"train"
6.62900040624663,8.27614296638238,"test"
40.6293570646085,14.5449711922101,"train"
39.7413141210563,13.5974719722556,"train"
10.2339364704676,9.47433293711894,"train"
16.3471101783216,11.7966278110899,"train"
1.02913562441245,2.44548155796844,"train"
9.96094457805157,8.71856022441639,"train"
3.13232773914933,5.8826392528705,"train"
39.0876213787124,13.9650626514023,"test"
23.0003824573942,12.7328351614249,"train"
27.4822795763612,11.8783847121917,"train"
33.3102412638254,12.8601500147936,"train"
38.0535254022107,13.0802113482996,"train"
0.657413282897323,1.32911659236129,"train"
22.8491261717863,13.8123298041439,"test"
6.30640578456223,8.32232554085961,"train"
33.4646634873934,11.925703894824,"train"
20.5035995459184,13.9492981705387,"train"
16.4536608499475,13.0518929068226,"train"
47.3313853726722,12.4994952794396,"test"
19.4692895049229,12.7927843849732,"test"
33.6014237254858,12.1276668804574,"train"
49.0732775535434,15.5728720064307,"train"
11.1195194302127,10.9385611769884,"train"
36.4268476609141,14.6650992799071,"train"
44.0950053860433,13.7025414875386,"train"
29.256816918496,12.7994460116353,"train"
14.9684849777259,11.896832244939,"train"
4.87426863983274,6.57258939734295,"train"
1.13222624640912,2.58695316831198,"train"
14.7104710107669,12.2172462021723,"train"
36.7113730986603,14.4442490548598,"train"
