Method,Quantity,min,Q1,median,Q3,max,mean,sd
Full MCMC,mu1,-0.304,-0.075,-0.041,-0.007,0.198,-0.041,0.051
FAST MCMC,mu1,-0.214,-0.074,-0.039,-0.005,0.145,-0.04,0.05
Full MCMC,mu2,-0.337,-0.104,-0.071,-0.037,0.209,-0.071,0.05
FAST MCMC,mu2,-0.26,-0.104,-0.072,-0.038,0.1,-0.071,0.049
Full MCMC,sigma11,4.323,4.907,5.025,5.145,5.954,5.028,0.176
FAST MCMC,sigma11,4.491,4.903,5.021,5.133,5.646,5.022,0.175
Full MCMC,sigma12,-0.451,0.074,0.164,0.249,0.76,0.16,0.13
FAST MCMC,sigma12,-0.299,0.055,0.152,0.237,0.716,0.145,0.133
Full MCMC,sigma21,-0.451,0.074,0.164,0.249,0.76,0.16,0.13
FAST MCMC,sigma21,-0.299,0.055,0.152,0.237,0.716,0.145,0.133
Full MCMC,sigma22,4.223,4.796,4.91,5.03,5.879,4.916,0.173
FAST MCMC,sigma22,4.394,4.8,4.912,5.031,5.569,4.919,0.173
Full MCMC,O11,-1,-0.926,0.022,0.927,1,0.004,0.858
FAST MCMC,O11,-1,-0.887,-0.042,0.872,1,-0.01,0.817
Full MCMC,O12,-1,-0.377,-0.001,0.376,1,-0.001,0.514
FAST MCMC,O21,-1,-0.467,0.029,0.471,1,0.01,0.576
Full MCMC,O21,-1,-0.376,0.001,0.377,1,0.001,0.514
FAST MCMC,O22,-1,-0.887,-0.042,0.872,1,-0.01,0.817
Full MCMC,O22,-1,-0.926,0.022,0.927,1,0.004,0.858
FAST MCMC,O22,-1,-0.887,-0.042,0.872,1,-0.01,0.817
Full MCMC,cp,2.791,18710128501746016e59,7710153231124276e136,21237501623273487e213,17966265527503575e290,2532532259831918e288,Inf
FAST MCMC,cp,5.931,32827170159448406e56,5602617233705648e139,23826721851172483e213,9850016021076249e290,9519775788825552e287,Inf
