"G3","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","set"
11,0.562321259558869,0.369161189125129,18,0.459333534447559,0.364515398584213,0.949857622671124,4,4,0.707877067389927,0.943684829171517,0.221893631137881,0.548553191746408,2,2,0,0.959727913409862,0.903494112393915,0.389458223795477,0.311609923429249,0.400021218977279,0.503470168953863,0.864416712024635,0.342314886005846,4,3,4,1,1,3,4,0,11,"train"
11,0.428073166858884,0.365577470922223,17,0.399655438449887,0.544997345134256,0.422666424675425,1,1,0.678105545816701,0.194633504114726,0.213667598443249,0.826265004949551,1,2,0,0.360895279690166,0.214279893328203,0.679028123633622,0.357763301886338,0.902266050225684,0.168256958030013,0.582285438337105,0.213206808584222,5,3,3,1,1,3,2,9,11,"train"
12,0.361069171577702,0.187774594622376,15,0.309413675728964,0.929242553431085,0.530918976162338,1,1,0.694827625040935,0.187109560803952,0.92922530475562,0.288389734843156,1,2,0,0.981960870941835,0.858012220794701,0.300396711986104,0.238292346972953,0.581482270027609,0.473825796432366,0.505832520504392,0.386491497922226,4,3,2,2,3,3,6,12,13,"train"
14,0.489696099138328,0.377300824266421,15,0.339900781579258,0.237156129770464,0.0491504058852955,4,2,0.993948767456442,0.657908131821005,0.597188677941487,0.327090342711262,1,3,0,0.224302069640129,0.377790750675393,0.363356145917727,0.686463525276456,0.265320470779315,0.413571247888691,0.526193432067424,0.752766654985431,3,2,2,1,1,5,0,14,14,"train"
13,0.582791714711781,0.120217965660929,16,0.352974300013961,0.419899262680088,0.270272904489593,3,3,0.225607837519941,0.11621492510375,0.539857733224202,0.836105686194068,1,2,0,0.381081772524763,0.190929531431305,0.431665130552771,0.2641152402851,0.379869960960208,0.409173595257292,0.86062256332669,0.443694033252537,4,3,2,1,2,5,0,11,13,"train"
13,0.331610797997951,0.69540971323823,16,0.263119796416819,0.847831076491049,0.255572134967263,4,3,0.530322356824758,0.311676185652568,0.72887232624464,0.46547611043128,1,2,0,0.473554218699243,0.332767228415162,0.636524037799722,0.784233689429211,0.135829836985807,0.589146718785866,0.367711081388472,0.367666332304674,5,4,2,1,2,5,6,12,12,"test"
13,0.363508313621551,0.823540466824403,16,0.188629670695321,0.857291960506703,0.314676077355076,2,2,0.159230791328781,0.107129186945827,0.601754227297346,0.408462465244044,1,2,0,0.526337600662364,0.7638129349752,0.306770631863911,0.191780775094059,0.424452682837269,0.492814326786441,0.556595285725652,0.228834905968217,4,4,4,1,1,3,0,13,12,"train"
13,0.45236541754991,0.347198470432927,17,0.309334342440898,0.306654294690365,0.947042513548732,4,4,0.141943980520714,0.93591411220004,0.499501044256669,0.296553965844351,2,2,0,0.919816108402582,0.308044023582143,0.412120702516305,0.51392442881936,0.379879236788253,0.495143627333042,0.841953102166537,0.265169577549428,4,1,4,1,1,1,2,10,13,"train"
17,0.327742511195794,0.753025108420225,15,0.340146143091984,0.857010752078544,0.923891671147781,3,2,0.493770943368903,0.301320363354635,0.573457169675242,0.484170693634593,1,2,0,0.466801078346049,0.200889094803308,0.679882434529757,0.166830298409948,0.665175111453495,0.366669203646331,0.28544313289784,0.308440540368865,4,2,2,1,1,1,0,15,16,"test"
13,0.273603982158648,0.794099292087638,15,0.53822532049952,0.396103087009115,0.407604240859046,3,4,0.243831641675509,0.248892749761556,0.571563129132378,0.366444138221432,1,2,0,0.367411584534016,0.321322088450729,0.252918624708369,0.822762335730566,0.484897609865747,0.444294407698382,0.333654824557652,0.410055471616192,5,5,1,1,1,5,0,12,12,"train"
14,0.357883822737724,0.151836312546016,15,0.357828074360262,0.267114611239501,0.431545665273985,4,4,0.84351936642409,0.995947287487762,0.783208422491564,0.53962596654097,1,2,0,0.0972424896121,0.391360794738361,0.667770636431157,0.193216720050557,0.302051086630596,0.316040305018791,0.12145320867135,0.234012611434139,3,3,3,1,2,2,2,14,14,"train"
13,0.298263941693011,0.28943464469949,15,0.609836190268767,0.508699586917677,0.373105242588672,2,1,0.507090046993126,0.0634953100370398,0.724446325539738,0.752342600050139,3,3,0,0.339144580742666,0.452551372386154,0.596777513718941,0.800322408959696,0.515870511842683,0.536590682382862,0.319502216825763,0.367867243956118,5,2,2,1,1,4,0,10,12,"train"
12,0.465701625278188,0.779373187611071,15,0.231784419075031,0.904200570365757,0.456144529587475,4,4,0.964189242345168,0.753918596200956,0.182376099465658,0.812814437217367,1,1,0,0.784119093354053,0.450547050512782,0.762080038905075,0.695105703062877,0.531369363571051,0.457462946987695,0.536999104183823,0.35733195118065,4,3,3,1,3,5,0,12,13,"test"
13,0.0357431877565579,0.759253621077531,15,0.402960819917471,0.360023303129704,0.376646362404834,4,3,0.921325764600189,0.234167093217501,0.198707736882314,0.526624400471412,2,2,0,0.636248125069571,0.279696171258931,0.607712551893937,0.347555869586351,0.476680557950984,0.463427137627493,0.443884699106356,0.290131526482227,5,4,3,1,2,3,0,12,12,"train"
15,0.0592225720561758,0.678546226613967,15,0.373283927216118,0.248969422905617,0.933340506357023,2,2,0.14667725110837,0.265504599751896,0.52824102619907,0.95427989239446,1,3,0,0.789754313789804,0.306620288527473,0.611304307464275,0.41917193200487,0.410504263154024,0.597166438775396,0.3071503413164,0.87671472773049,4,5,2,1,1,3,0,14,14,"train"
17,0.319939640898883,0.197725959248761,16,0.373774514856493,0.390668766890133,0.633048882388439,4,4,0.971341855752487,0.22577761061423,0.523146306652805,0.309568664016574,1,1,0,0.366592332310248,0.436347304615761,0.327388244482687,0.264127638201746,0.414978777734677,0.302870409827545,0.496648882806413,0.173055208044136,4,4,4,1,2,2,6,17,17,"test"
14,0.229054888080884,0.243097074783707,16,0.319597719263265,0.529101093417532,0.519243522825226,4,4,0.483540857840079,0.731162594380728,0.838809035192867,0.57397573531692,1,3,0,0.367690728135336,0.254487644061,0.38606729147419,0.857393093044678,0.37050513439419,0.463309050069713,0.317137882571814,0.339769064867734,3,2,3,1,2,2,10,13,13,"train"
14,0.168667395898795,0.413653171027848,16,0.557373768135685,0.342339271701659,0.270549026605032,3,3,0.225184322059298,0.386288349921405,0.866675650027896,0.422392918561698,3,2,0,0.919731443881713,0.488503656753183,0.753642716025815,0.8323966219206,0.393144583834842,0.531062697628216,0.892117538780894,0.27019585593641,5,3,2,1,1,4,2,13,14,"train"
7,0.313552610371681,0.799993511431337,17,0.593849093376141,0.333099433520908,0.643641161381826,3,2,0.479365707143807,0.715260181397571,0.231190167287558,0.599250648345898,1,1,3,0.285991966598083,0.252149772353896,0.967521116026538,0.818152202935782,0.304945467496373,0.246234296267349,0.361451446816829,0.228886846881338,5,5,5,2,4,5,2,8,8,"train"
12,0.229945251469333,0.843666225935662,16,0.401558409733276,0.857655712086575,0.471136148937998,4,3,0.946253347313458,0.247487191897694,0.58339032479574,0.823396907642433,1,1,0,0.317042539481734,0.822282363837608,0.43504095445647,0.772837004061553,0.318118791104728,0.251865799499478,0.0838676960931423,0.270625284456371,3,1,3,1,3,5,6,12,12,"train"
14,0.06113852648795,0.765569186141607,15,0.334710904567274,0.338239121097764,0.758801785640544,4,3,0.902479000893597,0.4997634121939,0.844143422227993,0.247402820450092,1,2,0,0.538485298125718,0.799794275996544,0.273854104486345,0.326571090904609,0.376583503345737,0.495205905561444,0.285529498926091,0.273729144392655,4,4,1,1,1,1,0,12,13,"train"
12,0.321127663242522,0.686033002680966,15,0.390256980679645,0.548637384966214,0.0492543483882162,4,4,0.962550341341492,0.996609668504293,0.941781731539457,0.871081072906142,1,1,0,0.371814852077858,0.286858088310258,0.979893644914808,0.125914960634242,0.128547421980712,0.52671013241857,0.403369892457329,0.36965245339889,5,4,2,1,1,5,0,11,12,"train"
14,0.0859856603861885,0.824165288061939,16,0.262203528530858,0.839669216636992,0.537730987569083,4,2,0.862726776142207,0.255939364935967,0.314916761189648,0.381648257490961,1,2,0,0.389003268878387,0.753469421789291,0.704866764035675,0.704216529899274,0.404458291104293,0.623804070487969,0.275180150361185,0.430657438070055,4,5,1,1,3,5,0,12,13,"test"
10,0.34343979618996,0.748127769462305,16,0.364547201311041,0.929954524198311,0.683975561801916,2,2,0.335285858968837,0.286633559782271,0.771002343747675,0.316832050857683,2,2,0,0.366399989312574,0.250281761201778,0.424036251533581,0.657649590853257,0.161621307981484,0.636984246457253,0.568956220613577,0.150145124632186,5,4,4,2,4,5,2,10,10,"train"
10,0.197014986936661,0.305653949369366,15,0.839408727599238,0.313270467865556,0.55021169119821,2,4,0.516411199545205,0.97709926253667,0.189287414883161,0.239528465443316,1,3,0,0.959285365617312,0.368242339315335,0.414693548592056,0.638373599391905,0.564732982847867,0.257928949777363,0.352217047510094,0.276742902907607,4,3,2,1,1,5,2,10,11,"train"
12,0.221602508973159,0.165985504194414,16,0.233333198947638,0.279549651645066,0.21743353879852,2,2,0.553220439503685,0.755710918537739,0.603344449822649,0.371881053495769,1,1,0,0.430778917718346,0.20053168961904,0.533730574158324,0.24126899691795,0.951235635672175,0.493135587267233,0.44757791630407,0.362852315785284,1,2,2,1,3,5,6,10,11,"train"
12,0.285514320540708,0.869655179279417,15,0.340347117527637,0.344719381551967,0.20289217814553,2,2,0.165014032594068,0.388111354847464,0.549938884877473,0.408820209772802,1,1,0,0.504222279743314,0.337346352672732,0.722803577690952,0.184433956679672,0.399095458406885,0.75237938114007,0.259958555705054,0.39967316804113,4,2,2,1,2,5,8,11,12,"test"
11,0.310155776845383,0.732275858568716,15,0.367052431948054,0.461030298342427,0.278585333993656,4,2,0.950594558224445,0.779087773987443,0.926451075436028,0.443924493831232,1,1,0,0.471869589587414,0.770274120912596,0.183729358634723,0.335001312204065,0.506330285208362,0.337383131775383,0.489233285229623,0.188018428480783,2,2,4,2,4,1,0,11,11,"train"
13,0.481042029920168,0.853088360474076,16,0.44179044977978,0.927721622215912,0.969097140066396,3,4,0.50542796972746,0.24786042719333,0.502328729240371,0.391585259379949,1,2,0,0.915371374410991,0.197960208054288,0.961392700474745,0.647847665982775,0.344683819599248,0.530076169691584,0.585858170674315,0.406595461965458,5,3,3,1,1,5,2,12,12,"train"
12,0.500603816985476,0.777521286335698,16,0.153751449023517,0.497173183168564,0.483160838840619,4,4,0.889576716973559,0.928677034261396,0.581200025411988,0.284316962872888,1,2,0,0.593218128954132,0.22306380907485,0.967334529468131,0.735443969343615,0.550027296315323,0.72428000178306,0.443680878087713,0.883025627535893,4,4,5,5,5,5,4,12,11,"test"
11,0.284452431964773,0.890293654392058,15,0.50675587624256,0.443938274326599,0.609406387488497,4,4,0.981409027251088,0.742172761754856,0.556973621898833,0.0905014475931549,1,2,0,0.202127368255281,0.251907972059217,0.988582583881927,0.331473895571799,0.889668571495945,0.282922253017576,0.31406873707912,0.223853578847516,5,4,2,3,4,5,0,10,11,"train"
15,0.403022176377113,0.765676687024754,15,0.465182995415361,0.556242702306162,0.358690083226263,4,4,0.473083534920079,0.708691742728361,0.725092655435639,0.396303360980417,2,2,0,0.48615351490483,0.440163424628322,0.634912161788482,0.822582966086313,0.461769929495195,0.52816030183148,0.165419268094623,0.274430874710164,4,3,1,1,1,5,2,15,15,"train"
15,0.155332346065267,0.678183676302606,15,0.93742344580868,0.476638511936912,0.416357755180886,4,3,0.885303959987081,0.858806848670493,0.151282380433974,0.489020729723198,1,2,0,0.32638523525613,0.305107387303956,0.449346124635355,0.729665638120264,0.425629821407004,0.653108615809928,0.41624019493437,0.760681132842823,4,5,2,1,1,5,0,13,14,"train"
12,0.367723764899672,0.856802224482736,15,0.514107770409347,0.830819211666131,0.432778612352242,3,3,0.237895706441409,0.246039930116525,0.227362928750149,0.246025910306252,1,2,0,0.78242454701578,0.859345591448759,0.32864051414084,0.594861581412366,0.878096641328223,0.355739872030437,0.159274750799709,0.212196330369747,5,3,2,1,1,2,0,13,12,"train"
12,0.193366975060226,0.746712205366298,16,0.322489508459996,0.249096245776668,0.319270219516716,3,2,0.187933915152735,0.177653337300214,0.562347339987979,0.26896880996404,1,1,0,0.651919329895422,0.159098111903197,0.81841700929933,0.193521052458736,0.932050982434832,0.608852962341621,0.324728990292812,0.535958943223286,5,4,3,1,1,5,4,12,12,"test"
11,0.440165285428929,0.251978118651956,15,0.277038252432612,0.260752049797737,0.467501026144701,2,3,0.120341810000487,0.319011952087765,0.949469886601539,0.856452270918213,2,1,0,0.583521231566018,0.285837872767384,0.803968342636184,0.809082606257202,0.255050703571984,0.542422529430625,0.883333369420709,0.403404138241677,3,5,1,1,1,5,4,11,11,"train"
14,0.161329514284793,0.835751846063073,15,0.319611749552445,0.865961778738464,0.509479744406193,4,3,0.835999170054957,0.717984914358177,0.560863880499205,0.185591150368872,1,3,0,0.390373840839112,0.230166289013074,0.634954308236218,0.721361826599383,0.271311518992114,0.203749009573405,0.25170830959,0.333744614036255,5,4,3,1,1,4,0,14,14,"test"
